run,nrmse,Met,LigH,Lig_minus,H_plus,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A5_ode_rnn_baseline_12,0.011508,0.007347,0.009055,0.017609,0.008320,0.015294,0.002085,0.020326,0.019038,0.012247,0.005819,0.014181,0.006776
A7_ode_rnn_l1reg_12,0.011806,0.007505,0.009130,0.017202,0.008373,0.015619,0.002175,0.021356,0.020928,0.012801,0.005799,0.014420,0.006357
A2_sample_theta_12,0.012357,0.006716,0.008743,0.017481,0.008954,0.014466,0.002148,0.022688,0.018687,0.012596,0.005492,0.020161,0.010147
A6_ode_rnn_unbounded_12,0.016843,0.008592,0.009800,0.018530,0.009859,0.015236,0.002806,0.037169,0.026183,0.024899,0.009280,0.023788,0.015974
A7_ode_rnn_l1reg_8,0.021710,,,,,0.021810,0.004685,0.053472,0.028359,0.023893,0.010875,0.018031,0.012553
A5_ode_rnn_baseline_8,0.022032,,,,,0.021210,0.004810,0.054227,0.028307,0.024295,0.011616,0.019667,0.012121
A7_ode_rnn_l1reg_6,0.053664,,,,,0.022669,0.049953,0.077660,,,0.082610,0.037652,0.051439
A5_ode_rnn_baseline_6,0.053914,,,,,0.022416,0.049953,0.077627,,,0.082046,0.038003,0.053438
A6_ode_rnn_unbounded_8,0.055877,,,,,0.040677,0.011570,0.047220,0.090396,0.069079,0.024533,0.105140,0.058399
A2_sample_theta_8,0.083367,,,,,0.051346,0.008914,0.062465,0.071482,0.093014,0.104395,0.161470,0.113849
A2_sample_theta_6,0.090662,,,,,0.063106,0.049953,0.066437,,,0.156889,0.118932,0.088653
A6_ode_rnn_unbounded_4,0.123116,,,,,0.028770,0.048420,,,,0.179298,,0.235977
A7_ode_rnn_l1reg_4,0.123886,,,,,0.068114,0.049753,,,,0.164149,,0.213528
A5_ode_rnn_baseline_4,0.124045,,,,,0.068461,0.049788,,,,0.164218,,0.213713
A2_sample_theta_4,0.131663,,,,,0.028604,0.057788,,,,0.206965,,0.233295
A6_ode_rnn_unbounded_6,0.138094,,,,,0.077657,0.049953,0.154470,,,0.183537,0.159317,0.203628
A1_fixed_theta_12,0.144964,0.068050,0.024638,0.152287,0.042542,0.038008,0.029767,0.145159,0.217567,0.237016,0.110757,0.226024,0.447753
A4_neural_ode_mlp_12,0.154257,0.150330,0.114491,0.117652,0.139856,0.027036,0.075103,0.115273,0.337379,0.150323,0.129301,0.255977,0.238364
A4_neural_ode_mlp_6,0.154880,,,,,0.036464,0.046740,0.130495,,,0.202349,0.276857,0.236376
A3_neural_ode_gru_12,0.158528,0.126909,0.158193,0.076568,0.152489,0.029254,0.054992,0.129805,0.358331,0.196587,0.121488,0.281148,0.216577
A3_neural_ode_gru_6,0.174071,,,,,0.038514,0.063568,0.140290,,,0.288863,0.242525,0.270668
A4_neural_ode_mlp_8,0.187943,,,,,0.031831,0.058182,0.130150,0.332585,0.186726,0.134848,0.263221,0.365999
A4_neural_ode_mlp_4,0.192037,,,,,0.047628,0.050996,,,,0.378192,,0.291333
A3_neural_ode_gru_4,0.193731,,,,,0.043858,0.059483,,,,0.380341,,0.291241
A1_fixed_theta_6,0.202748,,,,,0.061697,0.049953,0.087319,,,0.157448,0.350418,0.509655
A1_fixed_theta_8,0.230029,,,,,0.063163,0.028778,0.084498,0.239508,0.188649,0.273664,0.443046,0.518923
A3_neural_ode_gru_8,0.237111,,,,,0.042567,0.062867,0.163387,0.358199,0.237075,0.278912,0.415005,0.338873
A1_fixed_theta_4,0.529305,,,,,0.044513,0.235685,,,,1.614304,,0.222719
